-0.439054 1.949444
0.238239 2.133347
0.761197 2.161255
0.454978 2.219603
1.096412 2.316758
1.464186 2.630711
1.579907 2.550483
1.621384 2.407580
1.821037 2.263559
2.771354 1.922246
3.030028 1.811969
4.596696 1.198946
2.580085 1.984567
4.170287 1.269474
4.615602 1.226200
5.426652 1.322344
5.314220 1.268978
4.957640 1.172091
5.696207 1.732967
6.283835 1.619490
6.172360 1.606303
7.031075 2.174539
6.027980 1.601987
8.144073 2.370343
8.328776 2.385419
7.743554 2.448487
8.533518 2.338986
8.568289 2.155724
8.446192 2.394531
9.221070 1.852833
9.993854 1.718517
9.619580 1.816801
9.938748 1.642013
10.405803 1.685860
10.976242 1.588922
11.715139 1.926870
11.075065 1.472397
11.963059 2.035787
12.133374 2.098848
11.412466 1.716672
12.448570 2.104166
12.908519 2.518025
13.271354 2.603496
13.770597 2.777750
12.903889 2.868262
14.263634 3.201242
14.218124 3.277360
14.153698 3.044932
15.452022 3.038646
15.873969 2.919552
15.496160 3.016957
16.560469 2.710345
16.264938 2.731853
16.805396 2.491693
16.539238 2.773159
18.197307 3.230551
16.391794 2.843635
17.992248 3.032519
18.701990 3.728111
17.654153 2.841344
18.892607 3.576022
19.265188 4.080656
20.032605 4.425839
20.560815 4.540993
20.051218 4.494194
19.877361 4.467092
21.569694 4.724236
21.811474 4.715354
21.287985 5.137171
22.010887 4.715946
22.342832 4.738675
22.751492 4.357985
22.886914 4.595578
23.804614 4.878193
22.548742 4.528563
24.254589 4.985014
24.240869 5.102638
24.258521 5.043923
25.270310 5.868047
23.828198 4.927579
